Date,Description,Check#,Category,Currency,Amount,Balance
2022-09-16T07:00:00.000Z,Lampshade & Lace Antiques,,,,-1537,
2022-09-16T07:00:00.000Z,Spellbound Stationery,,,,-2499,
2022-09-16T07:00:00.000Z,Goblin Gadgets,,,,-2995,
2022-09-16T07:00:00.000Z,Wonderland Workshop,,,,-6000,
2022-09-16T07:00:00.000Z,The Cobbler’s Corner,,,,-2262,
2022-09-17T07:00:00.000Z,Lampshade & Lace Antiques,,,,-21964,
2022-09-17T07:00:00.000Z,The Brass Lantern Bookstore,,,,-2106,
2022-09-18T07:00:00.000Z,Timeless Treasures,,,,-893,
2022-09-18T07:00:00.000Z,Silhouette Portrait Studio,,,,-3882,
2022-09-19T07:00:00.000Z,The Crystal Radio Emporium,,,,13106,
2022-09-19T07:00:00.000Z,Timeless Treasures,,,,-3986,
2022-09-19T07:00:00.000Z,Phoenix Antiques,,,,11000,
2022-09-20T07:00:00.000Z,Spellbound Stationery,,,,-6200,
2022-09-20T07:00:00.000Z,The Velvet Emporium,,,,-208,
2022-09-20T07:00:00.000Z,Sorcerer’s Surplus,,,,-2257,
2022-09-20T07:00:00.000Z,The Cobbler’s Corner,,,,-2943,
2022-09-21T07:00:00.000Z,Mythical Merchants,,,,-100,
2022-09-21T07:00:00.000Z,Wonderland Workshop,,,,-728,
2022-09-21T07:00:00.000Z,Victorian Tea Parlor,,,,-1980,
2022-09-21T07:00:00.000Z,Gryffin Goods,,,,-2099,
2022-09-22T07:00:00.000Z,Witch’s Wardrobe,,,,104385,
2022-09-22T07:00:00.000Z,The Penny Candy Shoppe,,,,-728,
2022-09-22T07:00:00.000Z,Vintage Millinery,,,,-475,
2022-09-23T07:00:00.000Z,Arcane Alchemy,,,,-1000,
2022-09-23T07:00:00.000Z,Witch’s Wardrobe,,,,-1100,
2022-09-23T07:00:00.000Z,The Cobbler’s Corner,,,,-1615,
2022-09-24T07:00:00.000Z,Goblin Gadgets,,,,-8661,
2022-09-24T07:00:00.000Z,Mystic Market,,,,-50688,
2022-09-25T07:00:00.000Z,Cosmic Curiosities,,,,-2916,
2022-09-26T07:00:00.000Z,Starship Salvage,,,,-394,
2022-09-26T07:00:00.000Z,Mystic Market,,,,-813,
2022-09-26T07:00:00.000Z,Stardust Supplies,,,,-2200,
2022-09-26T07:00:00.000Z,Phoenix Antiques,,,,-3489,
2022-09-27T07:00:00.000Z,Cobblestone Apothecary,,,,66078,
2022-09-27T07:00:00.000Z,Dapper Gentleman’s Outfitters,,,,-7778,
2022-09-27T07:00:00.000Z,Phoenix Antiques,,,,-475,
2022-09-27T07:00:00.000Z,The Gramophone Emporium,,,,-999,
2022-09-27T07:00:00.000Z,Witch’s Wardrobe,,,,-1599,
2022-09-27T07:00:00.000Z,Witch’s Wardrobe,,,,-2182,
2022-09-28T07:00:00.000Z,Gryffin Goods,,,,2222,
2022-09-28T07:00:00.000Z,Starship Salvage,,,,-14971,
2022-09-28T07:00:00.000Z,The Gramophone Emporium,,,,-1147,
2022-09-28T07:00:00.000Z,Steampunk Sundries,,,,-1812,
2022-09-28T07:00:00.000Z,Wonderland Workshop,,,,-2240,
2022-09-29T07:00:00.000Z,Tin-Type Photography Studio,,,,-364,
2022-09-29T07:00:00.000Z,Labyrinth Books,,,,-99,
2022-09-30T07:00:00.000Z,Tin-Type Photography Studio,,,,-364,
2022-09-30T07:00:00.000Z,Narnia Novelties,,,,-501,
2022-09-30T07:00:00.000Z,Enchanted Emporium,,,,-1651,
2022-09-30T07:00:00.000Z,Retro Soda Fountain,,,,-1894,
2022-10-01T07:00:00.000Z,Silhouette Portrait Studio,,,,-793,
2022-10-01T07:00:00.000Z,Cobblestone Apothecary,,,,-7981,
2022-10-02T07:00:00.000Z,Victorian Tea Parlor,,,,-4274,
2022-10-02T07:00:00.000Z,Whimsical Wares,,,,-1538,
2022-10-03T07:00:00.000Z,Dreamweaver’s Delights,,,,2300,
2022-10-03T07:00:00.000Z,Timeless Treasures,,,,-4047,
2022-10-03T07:00:00.000Z,Ethereal Elegance,,,,-210,
2022-10-03T07:00:00.000Z,Art Nouveau Gallery,,,,-599,
2022-10-03T07:00:00.000Z,Antique Gramophone Records,,,,-1676,
2022-10-03T07:00:00.000Z,Celestial Sundries,,,,-2583,
2022-10-03T07:00:00.000Z,Silhouette Portrait Studio,,,,-2975,
2022-10-03T07:00:00.000Z,Goblin Gadgets,,,,-3000,
2022-10-04T07:00:00.000Z,Victorian Tea Parlor,,,,-70500,
2022-10-04T07:00:00.000Z,Arcane Alchemy,,,,-475,
2022-10-04T07:00:00.000Z,Dragon’s Den,,,,-1676,
2022-10-05T07:00:00.000Z,The Pocket Watch Repair Shop,,,,-364,
2022-10-05T07:00:00.000Z,Pandora’s Pantry,,,,118607,
2022-10-05T07:00:00.000Z,Sorcerer’s Surplus,,,,-1222,
2022-10-06T07:00:00.000Z,Silhouette Portrait Studio,,,,-364,
2022-10-06T07:00:00.000Z,Ethereal Elegance,,,,-1676,
2022-10-06T07:00:00.000Z,The Velvet Emporium,,,,-3972,
2022-10-06T07:00:00.000Z,Atlantis Artifacts,,,,-3313,
2022-10-07T07:00:00.000Z,Narnia Novelties,,,,-2317,
2022-10-07T07:00:00.000Z,Timeless Treasures,,,,-8000,
2022-10-08T07:00:00.000Z,Pixie Potions,,,,-2828,
2022-10-08T07:00:00.000Z,Phoenix Antiques,,,,-789,
2022-10-08T07:00:00.000Z,The Jazz Age Jazz Club,,,,-1000,
2022-10-08T07:00:00.000Z,Atlantis Artifacts,,,,-1024,
2022-10-08T07:00:00.000Z,Narnia Novelties,,,,-1378,
2022-10-08T07:00:00.000Z,Victorian Tea Parlor,,,,-6634,
2022-10-11T07:00:00.000Z,The Ticker-Tape Typewriter,,,,14478,
2022-10-11T07:00:00.000Z,Starship Salvage,,,,-364,
2022-10-11T07:00:00.000Z,Pixie Potions,,,,-1841,
2022-10-11T07:00:00.000Z,Wonderland Workshop,,,,-1556,
2022-10-12T07:00:00.000Z,The Pocket Watch Repair Shop,,,,-394,
2022-10-12T07:00:00.000Z,Timeless Treasures,,,,-1532,
2022-10-13T07:00:00.000Z,Gilded Gramophone Records,,,,-394,
2022-10-13T07:00:00.000Z,Wonderland Workshop,,,,-364,
2022-10-13T07:00:00.000Z,Mystic Market,,,,-1500,
2022-10-13T07:00:00.000Z,Witch’s Wardrobe,,,,-2118,
2022-10-14T07:00:00.000Z,The Pocket Watch Repair Shop,,,,-364,
2022-10-14T07:00:00.000Z,Labyrinth Books,,,,-633,
2022-10-14T07:00:00.000Z,Dreamweaver’s Delights,,,,-2145,
2022-10-14T07:00:00.000Z,Goblin Gadgets,,,,-2288,
2022-10-15T07:00:00.000Z,Goblin Gadgets,,,,-756,
2022-10-15T07:00:00.000Z,Cobblestone Apothecary,,,,-2404,
2022-10-15T07:00:00.000Z,Antique Gramophone Records,,,,-2993,
2022-10-16T07:00:00.000Z,Victrola Phonograph Parlor,,,,-969,
2022-10-16T07:00:00.000Z,The Pocket Watch Repair Shop,,,,-679,
2022-10-16T07:00:00.000Z,Mermaid Market,,,,-2041,
2022-10-17T07:00:00.000Z,Narnia Novelties,,,,-593,
2022-10-17T07:00:00.000Z,Silhouette Portrait Studio,,,,-364,
2022-10-17T07:00:00.000Z,Fable Finds,,,,-7710,
2022-10-17T07:00:00.000Z,The Velvet Emporium,,,,-475,
2022-10-17T07:00:00.000Z,Timeless Treasures,,,,-1164,
2022-10-17T07:00:00.000Z,Victrola Phonograph Parlor,,,,-1442,
2022-10-18T07:00:00.000Z,Retro Soda Fountain,,,,-208,
2022-10-18T07:00:00.000Z,The Velvet Emporium,,,,-8000,
2022-10-18T07:00:00.000Z,Antique Gramophone Records,,,,-499,
2022-10-18T07:00:00.000Z,Victorian Tea Parlor,,,,-820,
2022-10-19T07:00:00.000Z,Pandora’s Pantry,,,,187473,
2022-10-19T07:00:00.000Z,Stardust Supplies,,,,-2325,
2022-10-19T07:00:00.000Z,Lampshade & Lace Antiques,,,,-2336,
2022-10-19T07:00:00.000Z,The Velvet Emporium,,,,-2400,
2022-10-19T07:00:00.000Z,Victrola Phonograph Parlor,,,,-8671,
2022-10-20T07:00:00.000Z,Sorcerer’s Surplus,,,,-997,
2022-10-20T07:00:00.000Z,The Vaudeville Variety Store,,,,-1676,
2022-10-21T07:00:00.000Z,Fairy Tale Fabrics,,,,-593,
2022-10-21T07:00:00.000Z,Atlantis Artifacts,,,,-1472,
2022-10-21T07:00:00.000Z,Vintage Perfumery,,,,-2559,
2022-10-22T07:00:00.000Z,The Velvet Emporium,,,,-2600,
2022-10-23T07:00:00.000Z,The Carousel Toy Shop,,,,-1250,
2022-10-23T07:00:00.000Z,The Ticker-Tape Typewriter,,,,-1615,
2022-10-23T07:00:00.000Z,Fairy Tale Fabrics,,,,-2594,
2022-10-24T07:00:00.000Z,The Carousel Toy Shop,,,,-364,
2022-10-24T07:00:00.000Z,The Gramophone Emporium,,,,-1284,
2022-10-24T07:00:00.000Z,Gilded Gramophone Records,,,,-1696,
2022-10-24T07:00:00.000Z,Antique Gramophone Records,,,,-1720,
2022-10-24T07:00:00.000Z,Witch’s Wardrobe,,,,-1866,
2022-10-24T07:00:00.000Z,Tin-Type Photography Studio,,,,-2153,
2022-10-25T07:00:00.000Z,The Vaudeville Variety Store,,,,-593,
2022-10-25T07:00:00.000Z,Starship Salvage,,,,-208,
2022-10-25T07:00:00.000Z,The Vaudeville Variety Store,,,,-3316,
2022-10-25T07:00:00.000Z,Wonderland Workshop,,,,-10000,
2022-10-25T07:00:00.000Z,Labyrinth Books,,,,16875,
2022-10-25T07:00:00.000Z,Grandfather’s Haberdashery,,,,-15466,
2022-10-26T07:00:00.000Z,Vintage Perfumery,,,,10110,
2022-10-26T07:00:00.000Z,The Ticker-Tape Typewriter,,,,-1025,
2022-10-26T07:00:00.000Z,Dragon’s Den,,,,-1909,
2022-10-26T07:00:00.000Z,The Velvet Emporium,,,,-1599,
2022-10-26T07:00:00.000Z,The Brass Lantern Bookstore,,,,-1812,
2022-10-27T07:00:00.000Z,Spellbound Stationery,,,,-1228,
2022-10-27T07:00:00.000Z,Ethereal Elegance,,,,-999,
2022-10-27T07:00:00.000Z,Mythical Merchants,,,,-999,
2022-10-27T07:00:00.000Z,Antique Gramophone Records,,,,-1697,
2022-10-28T07:00:00.000Z,Art Nouveau Gallery,,,,-14971,
2022-10-28T07:00:00.000Z,Celestial Sundries,,,,-593,
2022-10-28T07:00:00.000Z,Cosmic Curiosities,,,,-6984,
2022-10-29T07:00:00.000Z,Ethereal Elegance,,,,-1212,
2022-10-29T07:00:00.000Z,The Edison Electric Emporium,,,,-99,
2022-10-29T07:00:00.000Z,Art Nouveau Gallery,,,,-3501,
2022-10-30T07:00:00.000Z,Mystic Market,,,,-999,
2022-10-30T07:00:00.000Z,Arcane Alchemy,,,,-4621,
2022-10-30T07:00:00.000Z,Timeless Treasures,,,,-4000,
2022-10-31T07:00:00.000Z,The Gramophone Emporium,,,,-364,
2022-10-31T07:00:00.000Z,The Cobbler’s Corner,,,,-495,
2022-10-31T07:00:00.000Z,Antique Gramophone Records,,,,-1481,
2022-10-31T07:00:00.000Z,Spellbound Stationery,,,,-1586,
2022-10-31T07:00:00.000Z,Sorcerer’s Surplus,,,,-3695,
2022-10-31T07:00:00.000Z,The Velvet Emporium,,,,-1648,
2022-10-31T07:00:00.000Z,Victorian Tea Parlor,,,,-1648,
2022-11-01T07:00:00.000Z,The Carousel Toy Shop,,,,-2884,
2022-11-02T07:00:00.000Z,The Pocket Watch Repair Shop,,,,35000,
2022-11-02T07:00:00.000Z,Mermaid Market,,,,-70500,
2022-11-02T07:00:00.000Z,Belle Époque Boutique,,,,-208,
2022-11-02T07:00:00.000Z,Victrola Phonograph Parlor,,,,-2000,
2022-11-03T07:00:00.000Z,Art Nouveau Gallery,,,,124945,
2022-11-04T07:00:00.000Z,The Pocket Watch Repair Shop,,,,-3734,
2022-11-04T07:00:00.000Z,Cobblestone Apothecary,,,,-1422,
2022-11-04T07:00:00.000Z,Whimsical Wares,,,,-4910,
2022-11-04T07:00:00.000Z,Art Nouveau Gallery,,,,-7489,
2022-11-05T07:00:00.000Z,Vintage Millinery,,,,-1540,
2022-11-05T07:00:00.000Z,Stardust Supplies,,,,-2162,
2022-11-05T07:00:00.000Z,Ethereal Elegance,,,,-3553,
2022-11-06T07:00:00.000Z,Victorian Tea Parlor,,,,-6000,
2022-11-06T07:00:00.000Z,Antique Gramophone Records,,,,-364,
2022-11-06T07:00:00.000Z,Phoenix Antiques,,,,-3565,
2022-11-06T07:00:00.000Z,Mystic Market,,,,-4336,
2022-11-07T08:00:00.000Z,The Crystal Radio Emporium,,,,-728,
2022-11-07T08:00:00.000Z,Dreamweaver’s Delights,,,,-475,
2022-11-07T08:00:00.000Z,Arcane Alchemy,,,,-1586,
2022-11-07T08:00:00.000Z,Antique Gramophone Records,,,,-1653,
2022-11-07T08:00:00.000Z,Mermaid Market,,,,-2799,
2022-11-08T08:00:00.000Z,Wonderland Workshop,,,,-4680,
2022-11-08T08:00:00.000Z,The Velvet Emporium,,,,-6220,
2022-11-09T08:00:00.000Z,Enchanted Emporium,,,,-997,
2022-11-10T08:00:00.000Z,Whimsical Wares,,,,-1352,
2022-11-15T08:00:00.000Z,The Cobbler’s Corner,,,,-871,
2022-11-16T08:00:00.000Z,Atlantis Artifacts,,,,145767,
2022-11-16T08:00:00.000Z,The Cobbler’s Corner,,,,-2041,
2022-11-18T08:00:00.000Z,Mystic Market,,,,-15132,
2022-11-19T08:00:00.000Z,Steampunk Sundries,,,,-472,
2022-11-19T08:00:00.000Z,The Cobbler’s Corner,,,,-5724,
2022-11-20T08:00:00.000Z,Victrola Phonograph Parlor,,,,-694,
2022-11-21T08:00:00.000Z,Dreamweaver’s Delights,,,,-728,
2022-11-21T08:00:00.000Z,Lampshade & Lace Antiques,,,,-4396,
2022-11-21T08:00:00.000Z,Gilded Gramophone Records,,,,-6952,
2022-11-22T08:00:00.000Z,Wonderland Workshop,,,,6496,
2022-11-22T08:00:00.000Z,The Velvet Emporium,,,,-1448,
2022-11-23T08:00:00.000Z,Silhouette Portrait Studio,,,,-364,
2022-11-23T08:00:00.000Z,Timeless Treasures,,,,-2403,
2022-11-23T08:00:00.000Z,Art Nouveau Gallery,,,,-4097,
2022-11-24T08:00:00.000Z,Fairy Tale Fabrics,,,,-4612,
2022-11-25T08:00:00.000Z,Witch’s Wardrobe,,,,-1644,
2022-11-25T08:00:00.000Z,Victorian Tea Parlor,,,,-324,
2022-11-25T08:00:00.000Z,Celestial Sundries,,,,-2030,
2022-11-25T08:00:00.000Z,Cosmic Curiosities,,,,-7534,
2022-11-26T08:00:00.000Z,Art Nouveau Gallery,,,,-762,
2022-11-26T08:00:00.000Z,Sorcerer’s Surplus,,,,-1599,
2022-11-26T08:00:00.000Z,Elven Emporium,,,,-2486,
2022-11-27T08:00:00.000Z,Steampunk Sundries,,,,-6631,
2022-11-27T08:00:00.000Z,Timeless Treasures,,,,-999,
2022-11-27T08:00:00.000Z,Narnia Novelties,,,,-1500,
2022-11-27T08:00:00.000Z,Atlantis Artifacts,,,,-8000,
2022-11-28T08:00:00.000Z,Dragon’s Den,,,,-14972,
2022-11-28T08:00:00.000Z,The Jazz Age Jazz Club,,,,-633,
2022-11-28T08:00:00.000Z,Elven Emporium,,,,-1380,
2022-11-28T08:00:00.000Z,Fable Finds,,,,-2485,
2022-11-28T08:00:00.000Z,Pixie Potions,,,,-2277,
2022-11-29T08:00:00.000Z,Mythical Merchants,,,,-768,
2022-11-29T08:00:00.000Z,Stardust Supplies,,,,-99,
2022-11-29T08:00:00.000Z,Phoenix Antiques,,,,-1890,
2022-11-30T08:00:00.000Z,The Carousel Toy Shop,,,,-364,
2022-11-30T08:00:00.000Z,Victorian Tea Parlor,,,,-8981,
2022-11-30T08:00:00.000Z,Cobblestone Apothecary,,,,7289,
2022-12-01T08:00:00.000Z,Gryffin Goods,,,,32215,
2022-12-01T08:00:00.000Z,Mermaid Market,,,,-364,
2022-12-01T08:00:00.000Z,Cosmic Curiosities,,,,-364,
2022-12-01T08:00:00.000Z,Dragon’s Den,,,,-2808,
2022-12-02T08:00:00.000Z,Art Nouveau Gallery,,,,-6273,
2022-12-02T08:00:00.000Z,Vintage Perfumery,,,,-70500,
2022-12-03T08:00:00.000Z,Witch’s Wardrobe,,,,-3210,
2022-12-03T08:00:00.000Z,Dragon’s Den,,,,-4008,
2022-12-04T08:00:00.000Z,Sorcerer’s Surplus,,,,-8000,
2022-12-04T08:00:00.000Z,Belle Époque Boutique,,,,-623,
2022-12-05T08:00:00.000Z,The Carousel Toy Shop,,,,-2990,
2022-12-05T08:00:00.000Z,Tin-Type Photography Studio,,,,-3216,
2022-12-05T08:00:00.000Z,The Ticker-Tape Typewriter,,,,-768,
2022-12-05T08:00:00.000Z,The Penny Candy Shoppe,,,,-2041,
2022-12-05T08:00:00.000Z,Labyrinth Books,,,,-3075,
2022-12-06T08:00:00.000Z,Elven Emporium,,,,-768,
2022-12-06T08:00:00.000Z,Tin-Type Photography Studio,,,,-999,
2022-12-06T08:00:00.000Z,Vintage Millinery,,,,-2041,
2022-12-06T08:00:00.000Z,Mystic Market,,,,-3270,
2022-12-07T08:00:00.000Z,Timeless Treasures,,,,-5093,
2022-12-07T08:00:00.000Z,Fable Finds,,,,-728,
2022-12-07T08:00:00.000Z,Labyrinth Books,,,,-8286,
2022-12-08T08:00:00.000Z,Sorcerer’s Surplus,,,,-907,
2022-12-08T08:00:00.000Z,Narnia Novelties,,,,-3554,
2022-12-09T08:00:00.000Z,Gryffin Goods,,,,-364,
2022-12-09T08:00:00.000Z,Cosmic Curiosities,,,,-6264,
2022-12-09T08:00:00.000Z,Phoenix Antiques,,,,-4551,
2022-12-11T08:00:00.000Z,Witch’s Wardrobe,,,,-5768,
2022-12-11T08:00:00.000Z,Starship Salvage,,,,-3832,
2022-12-12T08:00:00.000Z,The Penny Candy Shoppe,,,,180574,
2022-12-12T08:00:00.000Z,The Gramophone Emporium,,,,-3144,
2022-12-12T08:00:00.000Z,Narnia Novelties,,,,-3900,
2022-12-13T08:00:00.000Z,Victorian Tea Parlor,,,,-669,
2022-12-13T08:00:00.000Z,The Cobbler’s Corner,,,,-76,
2022-12-13T08:00:00.000Z,Whimsical Wares,,,,1000000,
2022-12-15T08:00:00.000Z,The Gramophone Emporium,,,,6160,
2022-12-15T08:00:00.000Z,The Gramophone Emporium,,,,120103,
2022-12-15T08:00:00.000Z,Gilded Gramophone Records,,,,-364,
2022-12-15T08:00:00.000Z,Tin-Type Photography Studio,,,,-1521,
2022-12-15T08:00:00.000Z,Wonderland Workshop,,,,-2578,
2022-12-17T08:00:00.000Z,Goblin Gadgets,,,,-6490,
2022-12-17T08:00:00.000Z,Vintage Perfumery,,,,-2968,
2022-12-17T08:00:00.000Z,Wonderland Workshop,,,,-2978,
2022-12-19T08:00:00.000Z,Stardust Supplies,,,,-394,
2022-12-19T08:00:00.000Z,Fairy Tale Fabrics,,,,-675,
2022-12-19T08:00:00.000Z,Gilded Gramophone Records,,,,-2555,
2022-12-20T08:00:00.000Z,Steampunk Sundries,,,,-3915,
2022-12-21T08:00:00.000Z,Retro Soda Fountain,,,,-728,
2022-12-21T08:00:00.000Z,Timeless Treasures,,,,-2505,
2022-12-21T08:00:00.000Z,Pixie Potions,,,,-3075,
2022-12-21T08:00:00.000Z,The Velvet Emporium,,,,-7261,
2022-12-21T08:00:00.000Z,Fable Finds,,,,-8882,
2022-12-22T08:00:00.000Z,Gryffin Goods,,,,-208,
2022-12-22T08:00:00.000Z,Lampshade & Lace Antiques,,,,-14977,
2022-12-23T08:00:00.000Z,Celestial Sundries,,,,-728,
2022-12-23T08:00:00.000Z,Pandora’s Pantry,,,,-587,
2022-12-23T08:00:00.000Z,The Cobbler’s Corner,,,,-2809,
2022-12-23T08:00:00.000Z,Silhouette Portrait Studio,,,,-3770,
2022-12-23T08:00:00.000Z,The Edison Electric Emporium,,,,-9696,
2022-12-23T08:00:00.000Z,Sorcerer’s Surplus,,,,-12400,
2022-12-24T08:00:00.000Z,The Prohibition Speakeasy,,,,-6675,
2022-12-24T08:00:00.000Z,Elven Emporium,,,,-15299,
2022-12-26T08:00:00.000Z,The Edison Electric Emporium,,,,-5654,
2022-12-26T08:00:00.000Z,The Ticker-Tape Typewriter,,,,-1496,
2022-12-26T08:00:00.000Z,Tin-Type Photography Studio,,,,-1599,
2022-12-27T08:00:00.000Z,The Prohibition Speakeasy,,,,-999,
2022-12-27T08:00:00.000Z,Steampunk Sundries,,,,-4454,
2022-12-27T08:00:00.000Z,Vintage Millinery,,,,-67303,
2022-12-28T08:00:00.000Z,Belle Époque Boutique,,,,-14086,
2022-12-28T08:00:00.000Z,Pixie Potions,,,,-1013,
2022-12-28T08:00:00.000Z,Sorcerer’s Surplus,,,,-5386,
2022-12-28T08:00:00.000Z,Retro Soda Fountain,,,,-11851,
2022-12-28T08:00:00.000Z,The Gramophone Emporium,,,,-657,
2022-12-29T08:00:00.000Z,Wonderland Workshop,,,,158044,
2022-12-29T08:00:00.000Z,The Cobbler’s Corner,,,,-99,
2022-12-29T08:00:00.000Z,The Gramophone Emporium,,,,-1496,
2022-12-29T08:00:00.000Z,Victrola Phonograph Parlor,,,,-2439,
2022-12-30T08:00:00.000Z,Enchanted Emporium,,,,7300,
2022-12-30T08:00:00.000Z,The Carousel Toy Shop,,,,-1400,
2022-12-30T08:00:00.000Z,The Ticker-Tape Typewriter,,,,-1058,
2022-12-30T08:00:00.000Z,Cobblestone Apothecary,,,,-13738,
2022-12-31T08:00:00.000Z,The Gramophone Emporium,,,,-1220,
2022-12-31T08:00:00.000Z,The Penny Candy Shoppe,,,,-1588,
2022-12-31T08:00:00.000Z,Goblin Gadgets,,,,-1822,
2022-12-31T08:00:00.000Z,Cosmic Curiosities,,,,6893,
2023-01-01T08:00:00.000Z,Goblin Gadgets,,,,-658,
2023-01-01T08:00:00.000Z,Fable Finds,,,,-2379,
2023-01-02T08:00:00.000Z,Tin-Type Photography Studio,,,,-728,
2023-01-02T08:00:00.000Z,Steampunk Sundries,,,,-2359,
2023-01-02T08:00:00.000Z,Enchanted Emporium,,,,-2761,
2023-01-02T08:00:00.000Z,Vintage Perfumery,,,,-3316,
2023-01-02T08:00:00.000Z,Grandfather’s Haberdashery,,,,-70500,
2023-01-02T08:00:00.000Z,Steampunk Sundries,,,,-1108,
2023-01-03T08:00:00.000Z,The Carousel Toy Shop,,,,-728,
2023-01-03T08:00:00.000Z,Starship Salvage,,,,-2311,
2023-01-04T08:00:00.000Z,Mystic Market,,,,-728,
2023-01-05T08:00:00.000Z,Dreamweaver’s Delights,,,,-987,
2023-01-05T08:00:00.000Z,The Velvet Emporium,,,,-9528,
2023-01-05T08:00:00.000Z,Grandfather’s Haberdashery,,,,-728,
2023-01-05T08:00:00.000Z,Fable Finds,,,,-3087,
2023-01-05T08:00:00.000Z,Antique Gramophone Records,,,,-1680,
2023-01-06T08:00:00.000Z,Mythical Merchants,,,,-728,
2023-01-06T08:00:00.000Z,Starship Salvage,,,,-200,
2023-01-06T08:00:00.000Z,Silhouette Portrait Studio,,,,-8610,
2023-01-06T08:00:00.000Z,Fairy Tale Fabrics,,,,-2000,
2023-01-07T08:00:00.000Z,Spellbound Stationery,,,,-208,
2023-01-07T08:00:00.000Z,Celestial Sundries,,,,-1798,
2023-01-07T08:00:00.000Z,Pixie Potions,,,,-3598,
2023-01-08T08:00:00.000Z,Dapper Gentleman’s Outfitters,,,,-408,
2023-01-08T08:00:00.000Z,The Cobbler’s Corner,,,,-3620,
2023-01-08T08:00:00.000Z,Phoenix Antiques,,,,-4612,
2023-01-08T08:00:00.000Z,The Penny Candy Shoppe,,,,-5784,
2023-01-09T08:00:00.000Z,Art Nouveau Gallery,,,,-728,
2023-01-09T08:00:00.000Z,The Crystal Radio Emporium,,,,-6599,
2023-01-09T08:00:00.000Z,Dapper Gentleman’s Outfitters,,,,-208,
2023-01-09T08:00:00.000Z,Belle Époque Boutique,,,,-1331,
2023-01-09T08:00:00.000Z,Whimsical Wares,,,,-1352,
2023-01-10T08:00:00.000Z,Pandora’s Pantry,,,,-728,
2023-01-10T08:00:00.000Z,The Crystal Radio Emporium,,,,-1108,
2023-01-11T08:00:00.000Z,Fable Finds,,,,-728,
2023-01-12T08:00:00.000Z,Art Nouveau Gallery,,,,59533,
2023-01-12T08:00:00.000Z,Mystic Market,,,,-808,
2023-01-13T08:00:00.000Z,Belle Époque Boutique,,,,-1106,
2023-01-13T08:00:00.000Z,Dreamweaver’s Delights,,,,-175,
2023-01-13T08:00:00.000Z,Steam-Powered Curiosities,,,,-1781,
2023-01-14T08:00:00.000Z,Celestial Sundries,,,,-1077,
2023-01-14T08:00:00.000Z,Timeless Treasures,,,,-2136,
2023-01-14T08:00:00.000Z,Grandfather’s Haberdashery,,,,-3017,
2023-01-15T08:00:00.000Z,Labyrinth Books,,,,-269,
2023-01-15T08:00:00.000Z,Antique Gramophone Records,,,,-444,
2023-01-15T08:00:00.000Z,Sorcerer’s Surplus,,,,-1200,
2023-01-16T08:00:00.000Z,Mythical Merchants,,,,-997,
2023-01-16T08:00:00.000Z,The Vaudeville Variety Store,,,,-1599,
2023-01-16T08:00:00.000Z,Cobblestone Apothecary,,,,-6977,
2023-01-17T08:00:00.000Z,The Carousel Toy Shop,,,,-728,
2023-01-17T08:00:00.000Z,Dapper Gentleman’s Outfitters,,,,-208,
2023-01-17T08:00:00.000Z,Atlantis Artifacts,,,,-3216,
2023-01-18T08:00:00.000Z,The Crystal Radio Emporium,,,,-957,
2023-01-19T08:00:00.000Z,Celestial Sundries,,,,-1352,
2023-01-20T08:00:00.000Z,Lampshade & Lace Antiques,,,,-1200,
2023-01-21T08:00:00.000Z,Belle Époque Boutique,,,,-5139,
2023-01-21T08:00:00.000Z,The Velvet Emporium,,,,-500,
2023-01-22T08:00:00.000Z,Gryffin Goods,,,,-2246,
2023-01-22T08:00:00.000Z,Timeless Treasures,,,,-2576,
2023-01-22T08:00:00.000Z,Vintage Perfumery,,,,-14000,
2023-01-23T08:00:00.000Z,Victrola Phonograph Parlor,,,,-728,
2023-01-23T08:00:00.000Z,Starship Salvage,,,,-1320,
2023-01-23T08:00:00.000Z,The Penny Candy Shoppe,,,,-2179,
2023-01-24T08:00:00.000Z,Pandora’s Pantry,,,,-957,
2023-01-24T08:00:00.000Z,Phoenix Antiques,,,,-8151,
2023-01-24T08:00:00.000Z,The Vaudeville Variety Store,,,,-3910,
2023-01-25T08:00:00.000Z,The Gramophone Emporium,,,,-6308,
2023-01-25T08:00:00.000Z,Tin-Type Photography Studio,,,,-433,
2023-01-26T08:00:00.000Z,Art Nouveau Gallery,,,,2400,
2023-01-26T08:00:00.000Z,Victorian Tea Parlor,,,,13800,
2023-01-26T08:00:00.000Z,Celestial Sundries,,,,166145,
2023-01-26T08:00:00.000Z,Mystic Market,,,,-1228,
2023-01-26T08:00:00.000Z,The Brass Lantern Bookstore,,,,-2500,
2023-01-27T08:00:00.000Z,Steampunk Sundries,,,,-808,
2023-01-27T08:00:00.000Z,Starship Salvage,,,,-999,
2023-01-27T08:00:00.000Z,Wonderland Workshop,,,,-1496,
2023-01-28T08:00:00.000Z,The Penny Candy Shoppe,,,,-14004,
2023-01-28T08:00:00.000Z,Dapper Gentleman’s Outfitters,,,,-1438,
2023-01-28T08:00:00.000Z,Dapper Gentleman’s Outfitters,,,,-3216,
2023-01-29T08:00:00.000Z,Dreamweaver’s Delights,,,,-99,
2023-01-30T08:00:00.000Z,Victrola Phonograph Parlor,,,,-868,
2023-01-30T08:00:00.000Z,Silhouette Portrait Studio,,,,-2184,
